no.;code;Leitungsfunktion;entry TBS;deputat FBS;deputat Vollzeit FBS;jobscope FBS;Übereinstimmung jobscope;deputat;deputat_full;jobscope_real;difference;jobscope_fbs;jobscope;Werte, wenn unter 10 % Differenz;age_tbs;age_fbs;age_Übereinstimmung;age;"gender_tbs (1=w; 2=m)";gender_fbs;Änderung gender;gender
73;7Q3VUH5A4Y;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;35;36;1;36;2;1;;2
74;7RQFQ7GNH2;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;30;31;1;31;1;2;;1
75;7T62VN7BHK;0;100,00;27,00;27,00;100,00;1;27,00;27,00;100,00;1,00;100,00;100,00;100,00;50;50;0;50;1;2;;1
76;88F6FW99TP;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;36;37;1;37;1;2;;1
77;8GAY2ARAX1;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;55;55;0;55;2;1;zuvor w in FBS;2
78;8LLTAK5ST5;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;62;63;1;63;1;2;;1
79;8MYLMCRC15;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;57;58;1;58;1;2;;1
80;8SGNLCX7TR;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;47;48;1;48;2;1;;2
81;8SH1AGU7HR;0;76,00;19,00;25,00;76,00;1;19,00;25,00;76,00;1,00;76,00;76,00;76,00;40;41;1;41;1;2;;1
82;8UQ5ELUKQW;0;100,00;25,00;28,00;89,29;0;?;?;?;0,00;89,29;100,00;Nein;48;49;1;49;2;1;;2
83;916SL9BX81;0;100,00;27,00;27,00;100,00;1;27,00;27,00;100,00;1,00;100,00;100,00;100,00;51;51;0;51;1;2;;1
84;9443D5GQUC;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;57;57;0;57;1;2;;1
85;94Z8N3LCS5;0;92,00;23,00;25,00;92,00;1;23,00;25,00;92,00;1,00;92,00;92,00;92,00;53;54;1;54;2;1;;2
86;9ANVAV5UAW;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;54;55;1;55;2;1;;2
87;9CPYEB8N6L;0;50,00;12,50;25,00;50,00;1;12,50;25,00;50,00;1,00;50,00;50,00;50,00;46;47;1;47;1;2;;1
88;9DVWB6B824;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;31;32;1;32;2;1;;2
89;9EQD92BTUV;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;45;46;1;46;2;1;;2
90;9LB9NYU3VL;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;54;55;1;55;2;1;;2
91;9LVTLBYKZH;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;39;39;0;39;2;1;;2
92;9M6XS2BDNU;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;61;61;0;61;2;1;;2
93;9QTYUHHAM3;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;40;41;1;41;2;1;;2
94;9SMGVNSZ9T;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;34;35;1;35;2;1;;2
95;9UT56D37SE;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;50;51;1;51;2;1;;2
96;9VYUBS6YQ6;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;34;34;0;34;1;2;;1
97;9WSS4UVY8W;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;29;30;1;30;1;2;;1
98;A47LWTD2PG;0;100,00;27,00;27,00;100,00;1;27,00;27,00;100,00;1,00;100,00;100,00;100,00;45;46;1;46;1;2;;1
99;A5NA278UX7;1;88,00;Leitungsfunktion;Leitungsfunktion;88,00;1;Leitungsfunktion;Leitungsfunktion;88,00;1,00;88,00;88,00;88,00;47;48;1;48;2;1;;2
100;A6GDAWQT2E;0;59,26;16,00;27,00;59,26;1;?;?;59,26;0,00;59,26;59,26;59,26;44;45;1;45;1;2;;1
101;A6M3VK7TGT;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;55;56;1;56;1;2;;1
102;AAR99WRGF6;0;60,00;16,00;25,00;64,00;0;?;?;?;0,00;62,00;62,00;62,00;39;40;1;40;1;2;;1
