date;holiday_tasks;holiday_wr;weekday;wr_days;NR_wr;cw
30.09.2022;0;0;5;;;39
01.10.2022;0;0;6;1;;39
02.10.2022;0;0;7;1;0;39
03.10.2022;1;0;1;1;;40
04.10.2022;0;0;2;;;40
05.10.2022;0;0;3;;;40
06.10.2022;0;0;4;;;40
07.10.2022;0;0;5;;;40
08.10.2022;0;0;6;1;;40
09.10.2022;0;0;7;1;0;40
10.10.2022;0;0;1;1;;41
11.10.2022;0;0;2;;;41
12.10.2022;0;0;3;;;41
13.10.2022;0;0;4;;;41
14.10.2022;0;0;5;;;41
15.10.2022;0;0;6;1;;41
16.10.2022;0;0;7;1;0;41
17.10.2022;0;0;1;1;;42
