no;SERIAL;TB_00;TB_01;A000;Fragebogen;InAusbildung;Geschlecht;Alter;RP;GruppeLK;GruppeLK_o;Vollzeit;Deputat;SProzent;Mehrarbeit;Mehrarbeit_o;Deputatsnachlass;Deputatsnachlass_o;AZ;AZ_00;AZO_01;AZO_02;AZO_03;AZO_04;AZF_01;AZF_02;AZF_03;AZF_04;LA01;LC01;LC06;LC06_o;LC11_01;LC11_02;LC11_03;LC11_04;LC11_05;LC11_06;LC11_07;LC11_08;LC11_09;LC11_10;LC11_11;LC11_11_o;LC12_01;LC12_02;LC12_03;SA01;SC04;SC09_01;SC09_02;SC09_03;VA02;VA02_o;VC02;VC03_01;VC03_02;VC03_03;VC08_01;VC08_02;VC08_03;VC08_04;VC08_05;VC08_06;VC08_07;VC08_08;VC08_09;VC08_10;VC08_11;VC08_11_o
33;2YY7F3A2A1;1;1;1;1;0;1;60;2;1;;1;25,00;100,00;1;4,00;1;2,50;52,00;3,00;30,00;0,00;22,00;0,00;10,00;8,00;40,00;25,00;1;25;1;2,5000;15,7500;20,0000;10,0000;2,0000;2,0000;0,0000;2,0000;0,0000;0,0000;0,0000;#NULL!;;28;10;1;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
34;32HMYPGH1E;1;1;1;1;0;2;30;1;1;;1;25,00;100,00;1;0,50;0;#NULL!;50,00;5,50;30,50;0,00;19,50;0,00;10,00;6,00;5,00;20,00;1;25;2;#NULL!;19,5000;19,0000;6,0000;3,0000;1,0000;0,0000;1,0000;0,5000;0,5000;1,0000;#NULL!;;31;4;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
35;33924QDXHB;1;1;1;1;0;2;35;1;1;;1;25,00;100,00;0;#NULL!;1;6,00;45,00;5,00;35,00;0,00;10,00;0,00;6,00;2,00;8,00;20,00;1;25;1;4,0000;15,0000;10,0000;3,5000;0,5000;2,0000;0,0000;1,0000;2,0000;0,0000;0,5000;#NULL!;;20;11;7;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
36;342YR2QFM1;1;1;1;1;0;1;30;2;1;;1;25,00;100,00;1;0,00;1;0,00;47,00;10,00;28,00;0,00;0,00;19,00;0,00;3,00;0,00;0,00;2;25;3;#NULL!;25,0000;10,0000;7,0000;0,5000;2,0000;0,5000;0,0000;2,0000;0,0000;0,0000;#NULL!;;12;6;18;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
37;36DCDPMCLC;1;0;1;1;0;2;34;1;1;;1;25,00;100,00;1;0,75;0;#NULL!;43,00;6,00;20,00;4,00;19,00;0,00;13,00;6,00;20,00;20,00;1;25;1;0,5000;14,2500;10,0000;5,0000;3,0000;2,0000;1,0000;1,0000;1,0000;0,0000;0,0000;#NULL!;;20;11;7;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
38;3B5NMLZYTN;1;1;1;1;0;2;33;3;1;;1;25,00;100,00;0;#NULL!;0;#NULL!;40,50;5,00;26,50;0,00;14,00;0,00;7,50;0,00;46,00;25,00;1;25;1;0,5000;25,0000;9,5000;4,0000;1,0000;0,5000;0,0000;0,0000;0,5000;0,0000;0,0000;#NULL!;;12;21;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
39;3CSSDB6CCP;1;1;1;2;0;1;48;1;1;;1;25,00;100,00;1;1,00;1;11,00;50,00;2,50;45,00;0,00;5,00;0,00;3,00;2,00;100,00;100,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;15,0000;30;8;0;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
40;3DKD3Y897D;1;1;1;1;0;1;38;1;1;;1;25,00;100,00;1;2,00;1;2,00;50,00;5,00;30,00;0,00;20,00;0,00;12,00;8,00;40,00;15,00;1;25;2;#NULL!;21,0000;13,0000;7,0000;0,0000;1,0000;1,0000;1,0000;5,0000;1,0000;0,0000;#NULL!;;20;8;10;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
41;3E6M4FMCTM;1;1;1;1;0;2;43;4;1;;0;18,00;72,00;1;1,00;0;#NULL!;40,00;6,00;22,00;0,00;14,00;6,00;1,00;5,00;15,00;15,00;1;25;1;1,0000;18,0000;10,0000;2,0000;1,0000;1,0000;#NULL!;1,0000;1,0000;#NULL!;#NULL!;#NULL!;;30;4;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
42;3EYE9ABEWC;1;1;1;2;0;1;52;3;1;;1;25,00;100,00;1;1,50;1;15,50;51,00;2,50;46,00;2,50;2,50;0,00;8,00;2,00;80,00;20,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;11,0000;28;5;5;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
43;3NX4XNA2AU;1;1;1;1;0;2;55;3;2;;0;20,00;74,07;0;#NULL!;1;5,00;34,00;1,50;18,00;0,50;16,00;0,00;4,00;4,00;60,00;15,00;1;27;1;5,0000;12,0000;13,0000;3,0000;1,0000;2,0000;0,0000;6,0000;2,0000;0,5000;2,0000;1,5000;Homepage und Qualitätshandbuch, Moodle Plattform;23;12;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
44;419W7871YT;1;1;1;1;0;2;43;3;1;;1;25,00;100,00;1;1,50;0;#NULL!;30,00;3,30;18,00;6,00;6,00;0,00;6,00;1,00;4,00;4,00;2;25;1;0,2500;16,0000;5,0000;1,0000;0,5000;2,0000;2,0000;0,5000;0,5000;0,5000;0,5000;#NULL!;;0;7;0;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
45;431KBW8FQD;1;1;1;1;0;2;30;1;1;;1;25,00;100,00;1;4,00;0;#NULL!;55,00;5,00;28,00;5,00;22,00;0,00;8,00;8,00;10,00;5,00;1;25;1;3,0000;19,5000;8,5000;5,0000;2,0000;3,0000;0,0000;2,5000;10,0000;1,0000;1,0000;2,5000;siehe Liste Zusatzaufgaben;25;10;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
46;438B4WTQK5;1;1;1;2;0;1;52;2;1;;1;25,00;100,00;0;#NULL!;1;17,00;47,00;7,50;39,00;2,00;5,00;1,00;0,00;1,00;60,00;2,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;8,0000;38;0;0;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
47;44EC1LHZ7H;1;1;1;1;0;1;38;3;1;;1;27,00;100,00;1;2,50;1;7,00;50,00;0,50;25,00;0,00;25,00;0,00;5,00;7,00;55,00;20,00;1;27;1;6,0000;17,0000;15,0000;3,0000;2,0000;1,0000;1,0000;8,0000;2,0000;0,0000;1,0000;#NULL!;;25;10;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
48;4829TQKNF9;1;1;1;1;0;2;35;4;1;;0;23,00;92,00;1;0,50;0;#NULL!;55,00;2,50;5,00;0,00;5,00;0,00;5,00;4,00;180,00;30,00;1;25;2;#NULL!;20,0000;15,0000;10,0000;0,5000;0,0000;0,0000;0,2500;2,2500;0,0000;0,0000;#NULL!;;8;25;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
49;4ABT4PPE4Q;1;1;1;1;0;1;55;1;1;;1;25,00;100,00;1;2,00;0;#NULL!;47,00;8,00;43,00;0,00;4,00;0,00;2,00;2,00;10,00;150,00;1;25;1;5,0000;16,5000;4,5000;4,5000;3,5000;3,0000;1,0000;10,0000;3,0000;0,5000;0,5000;0,0000;0;16;16;6;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
50;4DR4WUYTA1;1;1;1;1;0;2;38;4;1;;1;25,00;100,00;0;#NULL!;1;2,00;40,00;4,00;25,00;0,00;15,00;0,00;4,00;3,00;40,00;30,00;1;25;3;#NULL!;17,0000;15,0000;3,0000;2,0000;1,0000;0,0000;2,0000;1,0000;1,0000;1,0000;0,0000;;22;10;6;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
51;4G5F8Z1VEN;1;0;1;2;0;1;54;4;1;;1;25,00;100,00;0;#NULL!;1;25,00;55,00;10,00;45,00;5,00;5,00;0,00;8,00;5,00;60,00;100,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;0,0000;28;10;0;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
52;4GGGKUVZBY;1;0;1;1;0;2;34;1;1;;1;25,00;100,00;0;#NULL!;1;1,00;48,00;4,00;28,00;0,00;20,00;0,00;8,00;5,00;60,00;15,00;1;25;1;1,0000;24,0000;6,0000;8,0000;3,0000;1,0000;1,0000;3,0000;1,0000;0,0000;1,0000;0,0000;;29;6;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
53;4GKHV8FPXQ;1;1;1;1;0;2;54;2;1;;1;27,50;110,00;1;2,50;1;3,00;55,00;8,00;20,00;15,00;20,00;0,00;6,00;8,00;40,00;15,00;1;25;1;3,0000;10,0000;15,0000;2,0000;4,0000;3,0000;1,0000;7,0000;8,0000;1,0000;4,0000;#NULL!;;20;10;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
54;4GRLD3BC6V;1;1;1;2;0;1;51;1;1;;1;25,00;100,00;1;3,00;1;8,00;55,00;2,50;9,80;2,00;4,00;0,00;0,00;4,00;80,00;6,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;20,0000;32;4;2;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
55;4HTC1DBT77;1;1;1;1;0;2;36;4;1;;0;15,00;60,00;0;#NULL!;0;#NULL!;35,00;3,50;23,00;0,00;10,00;2,00;2,00;8,00;20,00;30,00;1;25;1;0,8000;12,0000;14,0000;2,0000;1,0000;1,0000;0,0000;0,0000;4,0000;0,0000;1,0000;#NULL!;;25;12;1;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
56;4HY2D224FC;1;1;1;1;0;2;59;1;1;;1;25,00;100,00;1;3,00;0;#NULL!;50,00;4,00;25,00;0,00;25,00;0,00;40,00;10,00;40,00;20,00;1;25;2;#NULL!;21,0000;12,0000;8,0000;3,0000;1,0000;1,0000;2,0000;2,0000;0,0000;0,0000;#NULL!;;25;10;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
57;4KWHSX8T8H;1;1;1;1;0;2;50;2;1;;0;15,00;60,00;1;2,00;1;1,25;30,00;2,00;20,00;#NULL!;10,00;#NULL!;#NULL!;2,00;20,00;8,00;3;25;1;1,0000;12,0000;11,0000;1,0000;2,0000;1,5000;#NULL!;1,0000;1,0000;#NULL!;0,5000;#NULL!;;38;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
58;4N6BS82DS5;1;1;1;2;0;2;43;2;1;;1;25,00;100,00;1;1,00;1;17,00;60,00;3,50;35,00;1,00;24,00;0,00;14,00;10,00;50,00;20,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;8,0000;30;8;0;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
59;4NL31RQU1R;1;1;1;1;0;1;40;3;1;;1;25,00;100,00;0;#NULL!;1;1,00;48,00;2,50;20,00;6,00;22,00;0,00;0,00;10,00;80,00;40,00;2;25;2;#NULL!;12,0000;20,0000;6,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;3,0000;#NULL!;;27;5;6;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
60;51WC99CADA;1;1;1;1;0;2;31;1;1;;1;25,00;100,00;1;1,50;1;4,00;40,00;1,00;20,00;0,00;20,00;0,00;12,00;1,00;10,00;50,00;1;25;1;4,0000;18,0000;12,5000;4,0000;2,0000;1,0000;0,0000;2,0000;0,5000;0,0000;0,0000;0,0000;;25;9;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
61;525D2BPTHG;1;0;1;1;0;2;32;3;1;;1;25,00;100,00;1;1,00;0;#NULL!;45,00;7,00;25,00;0,00;20,00;0,00;10,00;5,00;40,00;25,00;1;25;3;#NULL!;20,0000;15,0000;2,0000;2,0000;2,0000;2,0000;0,5000;1,0000;0,5000;0,0000;#NULL!;;20;10;8;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
62;52VPPKDP67;1;1;1;1;0;2;54;4;1;;1;25,00;100,00;0;#NULL!;1;2,00;54,00;2,50;27,00;0,00;28,00;0,00;10,00;12,00;40,00;80,00;1;25;1;2,0000;24,0000;15,0000;10,0000;0,5000;0,2500;0,2500;1,5000;1,5000;0,0000;2,0000;0,0000;;12;13;13;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
63;52VTUB88X5;1;1;1;1;0;2;34;1;1;;1;25,00;100,00;1;1,50;0;#NULL!;40,00;5,00;22,00;0,00;18,00;0,00;0,00;10,00;50,00;50,00;1;25;1;1,0000;16,0000;18,0000;8,0000;2,0000;2,0000;1,0000;0,0000;3,0000;0,0000;0,0000;0,0000;;6;20;12;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
64;53PCMRHUQB;1;1;1;1;0;1;36;2;1;;1;25,00;100,00;1;1,00;1;1,00;45,00;4,50;30,00;0,00;15,00;0,00;0,00;6,00;20,00;40,00;1;25;1;1,0000;19,0000;11,0000;3,0000;1,0000;3,0000;0,0000;2,0000;5,0000;0,0000;1,0000;#NULL!;;20;12;6;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
65;56HMDN3ZCF;1;0;1;1;0;1;56;4;1;;1;25,00;100,00;0;#NULL!;1;2,50;53,50;8,00;30,00;0,00;23,00;0,50;1,50;5,00;20,00;15,00;1;25;1;2,5000;21,0000;5,0000;1,0000;4,0000;1,0000;0,5000;2,0000;5,0000;0,0000;1,0000;#NULL!;;25;9;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
66;595SEA9ME4;1;1;1;1;0;1;64;3;1;;0;20,00;80,00;0;#NULL!;1;1,60;37,50;5,00;29,00;0,00;8,00;0,50;2,00;0,00;40,00;10,00;3;25;3;#NULL!;15,0000;12,0000;2,0000;1,0000;2,0000;0,0000;0,0000;3,0000;0,0000;2,0000;1,0000;kollegiale Beratung;26;9;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
67;5ADYA29CQC;1;1;1;1;0;2;57;3;1;;1;25,00;100,00;0;#NULL!;1;4,00;46,00;4,50;29,00;9,00;8,00;0,00;2,00;6,00;48,00;16,00;1;25;1;4,0000;16,0000;5,0000;1,0000;2,0000;1,0000;1,0000;3,0000;1,0000;0,0000;0,0000;#NULL!;;18;14;6;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
68;5AHMVCUR6B;1;1;1;2;0;1;62;2;1;;1;25,00;100,00;0;#NULL!;1;23,00;53,00;1,00;50,00;2,00;1,00;0,00;45,00;8,00;90,00;150,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;2,0000;38;0;0;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
69;5GX399NHWB;1;1;1;1;0;2;59;1;1;;1;25,00;100,00;0;#NULL!;1;3,00;45,00;7,00;20,00;0,00;25,00;0,00;15,00;10,00;80,00;40,00;1;25;1;3,0000;15,0000;12,0000;4,0000;2,0000;1,0000;0,5000;2,0000;1,0000;0,5000;2,0000;#NULL!;;30;6;2;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
70;5HZWN2HXB1;1;1;1;1;0;2;31;3;1;;1;25,00;100,00;0;#NULL!;1;8,00;60,00;1,00;29,00;6,00;30,00;0,00;4,00;6,00;60,00;15,00;1;25;1;8,0000;11,0000;20,0000;1,0000;2,0000;6,0000;1,0000;20,0000;5,0000;0,0000;2,0000;#NULL!;;30;3;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
71;5MSZCYPLGB;1;1;1;2;0;2;48;4;1;;1;25,00;100,00;0;#NULL!;1;12,00;50,00;5,50;8,00;0,00;10,00;0,00;4,00;6,00;100,00;100,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;13,0000;30;4;4;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
72;5MYT48WULY;1;0;1;1;0;2;40;4;1;;0;10,00;40,00;1;0,50;0;#NULL!;22,00;1,50;14,00;0,00;8,00;0,00;4,00;2,00;10,00;10,00;1;25;1;0,5000;10,0000;8,0000;2,0000;0,5000;0,5000;0,0000;0,5000;0,5000;0,0000;0,0000;#NULL!;;18;16;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
73;5TT4BRH8U7;1;1;1;1;0;2;49;1;1;;0;15,00;60,00;1;5,00;1;1,50;36,00;2,60;19,00;0,00;17,00;0,00;2,00;6,00;40,00;24,00;1;25;1;1,5000;12,0000;10,0000;8,0000;1,0000;1,5000;0,2500;0,7500;1,0000;0,5000;1,0000;#NULL!;;22;10;8;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
74;5UH9KHZGPK;1;1;1;1;0;2;33;1;1;;1;25,00;100,00;1;2,50;0;#NULL!;45,00;6,00;25,00;0,00;20,00;0,00;0,00;7,00;75,00;25,00;1;25;2;#NULL!;24,0000;13,0000;4,0000;0,5000;0,5000;0,0000;1,0000;1,0000;0,5000;0,5000;#NULL!;;28;5;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
75;5XKL64SH64;1;1;1;1;0;2;56;2;1;;1;25,00;100,00;0;#NULL!;1;2,00;47,00;5,00;30,00;0,00;17,00;0,00;4,00;8,00;40,00;80,00;1;25;1;2,0000;16,0000;11,0000;10,0000;2,0000;2,0000;0,0000;2,0000;1,0000;0,0000;3,0000;0,0000;;14;12;12;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
76;5XY1BYHY7T;1;1;1;1;0;1;39;4;1;;1;25,00;100,00;0;#NULL!;1;4,00;45,00;1,00;37,50;0,00;6,50;1,00;2,00;2,00;15,00;15,00;1;25;1;4,0000;16,0000;12,0000;5,0000;1,0000;2,0000;0,5000;6,0000;2,0000;0,5000;0,0000;#NULL!;;10;20;8;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
77;62LMV1GBLT;1;1;1;1;0;2;29;3;1;;1;25,00;100,00;0;#NULL!;0;#NULL!;49,00;4,00;29,00;0,00;20,00;0,00;10,00;10,00;25,00;30,00;2;25;1;1,5000;19,0000;22,0000;2,0000;2,0000;2,0000;0,0000;1,0000;1,0000;0,0000;0,0000;#NULL!;;22;8;8;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
