no;SERIAL;TB_00;TB_01;A000;Fragebogen;InAusbildung;Geschlecht;Alter;RP;GruppeLK;GruppeLK_o;Vollzeit;Deputat;SProzent;Mehrarbeit;Mehrarbeit_o;Deputatsnachlass;Deputatsnachlass_o;AZ;AZ_00;AZO_01;AZO_02;AZO_03;AZO_04;AZF_01;AZF_02;AZF_03;AZF_04;LA01;LC01;LC06;LC06_o;LC11_01;LC11_02;LC11_03;LC11_04;LC11_05;LC11_06;LC11_07;LC11_08;LC11_09;LC11_10;LC11_11;LC11_11_o;LC12_01;LC12_02;LC12_03;SA01;SC04;SC09_01;SC09_02;SC09_03;VA02;VA02_o;VC02;VC03_01;VC03_02;VC03_03;VC08_01;VC08_02;VC08_03;VC08_04;VC08_05;VC08_06;VC08_07;VC08_08;VC08_09;VC08_10;VC08_11;VC08_11_o
313;NQMXU3SLC1;1;1;1;1;0;2;35;2;1;;1;25,00;100,00;1;3,93;1;0,50;38,00;2,50;28,00;0,00;10,00;0,00;5,00;5,00;15,00;10,00;1;25;3;#NULL!;24,0000;6,0000;3,0000;2,0000;2,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;;24;12;2;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
314;NQPSF4TV3X;1;0;1;2;0;1;58;2;1;;1;25,00;100,00;1;1,00;1;17,00;50,00;5,00;45,00;1,00;5,00;0,50;2,00;1,00;100,00;20,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;8,5000;35;2;1;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
315;NXGU64NDAQ;1;1;1;1;0;2;38;1;1;;0;20,00;80,00;1;24,00;0;#NULL!;50,00;4,00;40,00;0,00;10,00;4,00;4,00;3,00;30,00;25,00;1;25;2;#NULL!;24,0000;10,0000;10,0000;2,0000;3,0000;1,0000;1,0000;10,0000;1,0000;4,0000;#NULL!;;22;12;6;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
316;NZDSCKA9KY;1;1;1;1;0;2;40;4;1;;0;17,00;68,00;1;5,00;0;#NULL!;48,00;3,33;18,50;0,00;35,00;0,00;10,00;10,00;30,00;220,00;1;25;1;0,2500;14,2500;11,0000;30,0000;2,0000;2,0000;1,0000;2,0000;2,0000;3,0000;8,0000;0,0000;;34;3;1;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
317;NZL9RBGLRZ;1;1;1;1;0;2;39;2;1;;0;13,00;52,00;1;1,00;0;#NULL!;31,50;3,50;18,50;0,00;13,00;0,00;2,00;5,00;35,00;15,00;1;25;1;3,0000;8,2500;8,5000;5,0000;0,5000;1,5000;0,0000;7,0000;0,5000;0,0000;0,0000;0,5000;Pausenaufsicht;20;13;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
318;P3PL6YQEFV;1;1;1;1;0;2;30;2;1;;0;24,50;98,00;0;#NULL!;1;0,50;28,00;10,00;20,00;0,00;6,00;2,00;2,00;4,00;10,00;5,00;2;25;1;1,0000;18,0000;5,0000;1,0000;0,5000;1,0000;0,0000;0,5000;1,0000;0,0000;0,5000;#NULL!;;32;6;0;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
319;P6W6W7QGNN;1;0;1;1;0;1;38;1;1;;1;25,00;100,00;1;1,00;1;2,25;44,00;7,50;29,50;0,00;12,50;2,00;6,00;2,00;35,00;8,00;1;25;1;2,2500;18,5000;12,0000;2,5000;2,0000;2,0000;1,0000;4,0000;1,0000;0,0000;0,0000;#NULL!;;28;6;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
320;P7PCP8EFV5;1;1;1;1;0;2;54;2;1;;0;12,50;50,00;1;4,20;0;#NULL!;30,00;2,00;14,00;0,00;16,00;0,00;1,00;2,00;6,00;12,00;1;25;2;#NULL!;9,0000;10,0000;2,0000;1,0000;1,0000;0,0000;0,5000;0,5000;0,0000;1,0000;0,0000;;27;5;6;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
321;P7UTVGATQP;1;1;1;2;0;2;56;2;1;;0;18,50;74,00;0;#NULL!;1;5,25;47,00;2,00;35,00;0,00;12,00;0,00;1,50;6,00;36,00;40,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;11,9000;20;10;10;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
322;PDB9VS915C;1;0;1;1;0;1;40;2;1;;0;22,00;88,00;0;#NULL!;1;0,50;38,00;1,25;30,00;0,00;8,00;0,00;6,00;2,00;0,00;6,00;1;25;1;0,5000;22,0000;7,0000;3,0000;1,0000;4,0000;1,0000;2,0000;4,0000;0,0000;0,0000;#NULL!;;22;8;8;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
