no.;code;fragebogen;entry TBS;deputat FBS;deputat Vollzeit FBS;jobscope FBS;Übereinstimmung jobscope;Arbeitszeit TBS;Arbeitszeit WR;Arbeitszeit FBS;deputat;deputat_full;jobscope;jobscope FBS2;jobscope TBS;Spalte1;age_tbs;age_fbs;age_Übereinstimmung;age;gender_tbs;gender_fbs;Änderung gender;gender
53;5MSZCYPLGB;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;50,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;47;48;1;48;1;2;;1
54;5MYT48WULY;1;40,00;10,00;25,00;40,00;1;#BEZUG!;#BEZUG!;22,00;10,00;25,00;40,00;Nein;;Prüfen;39;40;1;40;1;2;;1
55;5TT4BRH8U7;1;60,00;15,00;25,00;60,00;1;#BEZUG!;#BEZUG!;36,00;15,00;25,00;60,00;Nein;;Prüfen;49;49;0;49;1;2;;1
56;5UH9KHZGPK;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;45,00;25,00;25,00;100,00;Nein;;Prüfen;32;33;1;33;1;2;;1
57;5XKL64SH64;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;47,00;25,00;25,00;100,00;Nein;;Prüfen;56;56;0;56;1;2;;1
58;5XY1BYHY7T;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;45,00;25,00;25,00;100,00;Nein;;Prüfen;39;39;0;39;2;1;;2
59;62LMV1GBLT;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;49,00;25,00;25,00;100,00;Nein;;Prüfen;29;29;0;29;1;2;;1
60;658DR8AZ5H;1;83,33;26,00;25,00;104,00;0;#BEZUG!;#BEZUG!;47,00;?;?;?;104,00;;Nein;49;49;0;49;1;2;;1
61;67QZ97BQ1P;1;25,00;21,00;25,00;84,00;1;#BEZUG!;#BEZUG!;44,50;?;?;84,00;84,00;;Nein;38;39;1;39;1;2;;1
62;6DBGDA4TBF;1;84,00;21,00;25,00;84,00;1;#BEZUG!;#BEZUG!;48,00;21,00;25,00;84,00;Nein;;Prüfen;42;43;1;43;1;2;;1
63;6NREWR97X6;1;80,00;20,00;25,00;80,00;1;#BEZUG!;#BEZUG!;40,00;20,00;25,00;80,00;Nein;;Prüfen;49;50;1;50;1;2;;1
64;6U2M2VRPHE;1;88,00;22,00;25,00;88,00;1;#BEZUG!;#BEZUG!;45,00;22,00;25,00;88,00;Nein;;Prüfen;49;50;1;50;2;1;;2
65;6UKEB2GSQS;1;63,00;18,00;27,00;66,67;0;#BEZUG!;#BEZUG!;32,00;?;?;?;Nein;;Prüfen;49;50;1;50;1;2;;1
66;71WPYDZRH9;1;84,00;25,00;25,00;100,00;0;#BEZUG!;#BEZUG!;41,00;?;?;?;100,00;;Nein;37;38;1;38;1;2;;1
67;75UX8KABY2;1;80,00;20,00;25,00;80,00;1;#BEZUG!;#BEZUG!;32,00;20,00;25,00;80,00;Nein;;Prüfen;36;37;1;37;1;2;;1
68;79E4175E2T;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;55,00;25,00;25,00;100,00;Nein;;Prüfen;38;39;1;39;1;2;;1
69;7AHDF4277G;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;60,00;25,00;25,00;100,00;Nein;;Prüfen;40;41;1;41;1;2;;1
70;7CT9EYZYA2;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;42,00;25,00;25,00;100,00;Nein;;Prüfen;56;56;0;56;2;1;;2
71;7DETHE8853;1;100,00;25,00;27,00;92,59;0;#BEZUG!;#BEZUG!;47,50;?;?;?;Nein;;Prüfen;56;57;1;57;2;1;;2
72;7N3EYU7XT2;1;50,00;12,50;25,00;50,00;1;#BEZUG!;#BEZUG!;31,00;12,50;25,00;50,00;Nein;;Prüfen;42;42;0;42;1;2;;1
73;7Q3VUH5A4Y;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;45,00;25,00;25,00;100,00;Nein;;Prüfen;35;36;1;36;2;1;;2
74;7RQFQ7GNH2;1;80,00;20,00;25,00;80,00;1;#BEZUG!;#BEZUG!;55,00;20,00;25,00;80,00;Nein;;Prüfen;30;31;1;31;1;2;;1
75;7T62VN7BHK;1;100,00;27,00;27,00;100,00;1;#BEZUG!;#BEZUG!;38,00;27,00;27,00;100,00;Nein;;Prüfen;50;50;0;50;1;2;;1
76;88F6FW99TP;1;80,00;20,00;25,00;80,00;1;#BEZUG!;#BEZUG!;50,00;20,00;25,00;80,00;Nein;;Prüfen;36;37;1;37;1;2;;1
77;8GAY2ARAX1;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;50,00;25,00;25,00;100,00;Nein;;Prüfen;55;55;0;55;2;1;zuvor w in FBS;2
78;8LLTAK5ST5;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;56,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;62;63;1;63;1;2;;1
79;8MYLMCRC15;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;55,00;25,00;25,00;100,00;Nein;;Prüfen;57;58;1;58;1;2;;1
80;8SGNLCX7TR;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;50,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;47;48;1;48;2;1;;2
81;8SH1AGU7HR;1;76,00;19,00;25,00;76,00;1;#BEZUG!;#BEZUG!;35,00;19,00;25,00;76,00;Nein;;Prüfen;40;41;1;41;1;2;;1
82;8UQ5ELUKQW;1;100,00;25,00;28,00;89,29;0;#BEZUG!;#BEZUG!;38,00;?;?;?;89,29;;Nein;48;49;1;49;2;1;;2
83;916SL9BX81;1;100,00;27,00;27,00;100,00;1;#BEZUG!;#BEZUG!;43,00;27,00;27,00;100,00;Nein;;Prüfen;51;51;0;51;1;2;;1
84;9443D5GQUC;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;50,00;25,00;25,00;100,00;Nein;;Prüfen;57;57;0;57;1;2;;1
85;94Z8N3LCS5;1;92,00;23,00;25,00;92,00;1;#BEZUG!;#BEZUG!;45,00;23,00;25,00;92,00;Nein;;Prüfen;53;54;1;54;2;1;;2
86;9ANVAV5UAW;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;45,00;25,00;25,00;100,00;Nein;;Prüfen;54;55;1;55;2;1;;2
87;9CPYEB8N6L;1;50,00;12,50;25,00;50,00;1;#BEZUG!;#BEZUG!;24,00;12,50;25,00;50,00;Nein;;Prüfen;46;47;1;47;1;2;;1
88;9DVWB6B824;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;45,00;25,00;25,00;100,00;Nein;;Prüfen;31;32;1;32;2;1;;2
89;9EQD92BTUV;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;44,00;25,00;25,00;100,00;Nein;;Prüfen;45;46;1;46;2;1;;2
90;9LB9NYU3VL;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;54,00;25,00;25,00;100,00;Nein;;Prüfen;54;55;1;55;2;1;;2
91;9LVTLBYKZH;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;46,00;25,00;25,00;100,00;Nein;;Prüfen;39;39;0;39;2;1;;2
92;9M6XS2BDNU;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;48,00;25,00;25,00;100,00;Nein;;Prüfen;61;61;0;61;2;1;;2
93;9QTYUHHAM3;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;44,00;25,00;25,00;100,00;Nein;;Prüfen;40;41;1;41;2;1;;2
94;9SMGVNSZ9T;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;55,00;25,00;25,00;100,00;Nein;;Prüfen;34;35;1;35;2;1;;2
95;9UT56D37SE;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;47,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;50;51;1;51;2;1;;2
96;9VYUBS6YQ6;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;43,00;25,00;25,00;100,00;Nein;;Prüfen;34;34;0;34;1;2;;1
97;9WSS4UVY8W;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;46,00;25,00;25,00;100,00;Nein;;Prüfen;29;30;1;30;1;2;;1
